title,overview,genres,cast,poster_url
The Platform 2,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.","['Science Fiction', 'Horror']","['Milena Smit', 'Hovik Keuchkerian', 'Natalia Tena', 'Óscar Jaenada', 'Ivan Massagué']",https://image.tmdb.org/t/p/w500/hf94ySIzdP3KwHau9VSWh7b7Qu2.jpg
My Hero Academia: You're Next,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...","['Animation', 'Action', 'Adventure', 'Science Fiction']","['Daiki Yamashita', 'Nobuhiko Okamoto', 'Yuki Kaji', 'Mamoru Miyano', 'Meru Nukumi']",https://image.tmdb.org/t/p/w500/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg
Terrifier,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",['Horror'],"['Marie Maser', 'Mike Giannelli', 'Michael Chmiel', 'Daniel Rodas', 'Jennifer Castellano']",https://image.tmdb.org/t/p/w500/uP5k78WkCVrxrFp4AJflHbC61Ao.jpg
Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.","['Horror', 'Thriller']","['Sam Claflin', 'Antonia Thomas', 'Caréll Vincent Rhoden', 'Will Davis', 'Adelle Leonce']",https://image.tmdb.org/t/p/w500/hzrvol8K2VWm2BsDTwb8YvRMzIH.jpg
Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.","['Comedy', 'Action', 'Fantasy']","['Dwayne Johnson', 'Chris Evans', 'J.K. Simmons', 'Lucy Liu', 'Kiernan Shipka']",https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.","['Horror', 'Mystery']","['Naomi Scott', 'Rosemarie DeWitt', 'Dylan Gelula', 'Lukas Gage', 'Peter Jacobson']",https://image.tmdb.org/t/p/w500/aE85MnPIsSoSs3978Noo16BRsKN.jpg
Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","['Action', 'Comedy']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Nuñez']",https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg
Brothers,"A reformed criminal's attempt at going straight is derailed when he reunites with his sanity-testing twin brother on a road trip for the score of a lifetime. Dodging bullets, the law, and an overbearing mother along the way, they must heal their severed family bond before they end up killing each other.","['Action', 'Comedy', 'Crime']","['Josh Brolin', 'Peter Dinklage', 'Glenn Close', 'Brendan Fraser', 'Taylour Paige']",https://image.tmdb.org/t/p/w500/Akweo95FGyDpucYVT81h0SbX8Ky.jpg
Take Cover,A burned-out professional sniper finds himself trapped in an all-glass penthouse by a lethal competitor and must find a way to survive and escape with little to no cover between him and the killer.,"['Action', 'Thriller']","['Scott Adkins', 'Alice Eve', 'Jack Parr', 'Billy Clements', 'Mădălina Bellariu Ion']",https://image.tmdb.org/t/p/w500/xNLiMNyFzKTL9PVIEulG55Hei8j.jpg
The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.","['Action', 'Fantasy', 'Horror']","['Bill Skarsgård', 'FKA twigs', 'Danny Huston', 'Josette Simon', 'Laura Birn']",https://image.tmdb.org/t/p/w500/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg
